Title,Price,Location,Date
"Кондиціонери зі складу різних брендів, по приємних цінах.",10 600 грн.,Стан: Нове,07 травня 2024 р.
"Кондиціонери зі складу різних брендів, по приємних цінах.",10 600 грн.,Стан: Нове,07 травня 2024 р.
Бойлер 150 л новий з Франції,4 900 грн.,Стан: Нове,07 травня 2024 р.
Бойлер 150 л новий з Франції,4 900 грн.,Стан: Нове,07 травня 2024 р.
Осушувач повітря DryFy Connect 40 Німеччина 10045540,9 200 грн.,Стан: Нове,07 травня 2024 р.
Осушувач повітря DryFy Connect 40 Німеччина 10045540,9 200 грн.,Стан: Нове,07 травня 2024 р.
Новинка! Холодильная витрина ТехноХолод Sonata 1.6м. | Freddo | *2шт.*,32 000 грн.,Стан: Вживане,Сьогодні о 07:33
Новинка! Холодильная витрина ТехноХолод Sonata 1.6м. | Freddo | *2шт.*,32 000 грн.,Стан: Вживане,Сьогодні о 07:33
"Скидка! Холодильный шкаф ""Coldwell"" 450SL (графит) | Гарантия | 35шт",6 500 грн.,Стан: Вживане,Сьогодні о 07:28
"Скидка! Холодильный шкаф ""Coldwell"" 450SL (графит) | Гарантия | 35шт",6 500 грн.,Стан: Вживане,Сьогодні о 07:28
Кондиционер Dekker DSH 105 R/V,7 000 грн.,Стан: Вживане,Сьогодні о 07:26
Кондиционер Dekker DSH 105 R/V,7 000 грн.,Стан: Вживане,Сьогодні о 07:26
Хит! Холодильная витрина Cold 15SG (белый) | Freddo | Гарантия! | 2шт.,28 000 грн.,Стан: Вживане,Сьогодні о 07:24
Хит! Холодильная витрина Cold 15SG (белый) | Freddo | Гарантия! | 2шт.,28 000 грн.,Стан: Вживане,Сьогодні о 07:24
Зволожувач повітря підлоговий,450 грн.,Стан: Вживане,Сьогодні о 07:21
Зволожувач повітря підлоговий,450 грн.,Стан: Вживане,Сьогодні о 07:21
"Тепловые насосы для дома, квартиры, предприятий, бассейнов.",100 000 грн.,Стан: Нове,Сьогодні о 07:20
"Тепловые насосы для дома, квартиры, предприятий, бассейнов.",100 000 грн.,Стан: Нове,Сьогодні о 07:20
В-Ц4-75 №8 №10 №12.5 №16 новые Вентилятор промышленный,15 000 грн.,Стан: Вживане,Сьогодні о 07:21
В-Ц4-75 №8 №10 №12.5 №16 новые Вентилятор промышленный,15 000 грн.,Стан: Вживане,Сьогодні о 07:21
Монтажний комплект MIELE,3 500 грн.,Стан: Нове,Сьогодні о 07:33
Монтажний комплект MIELE,3 500 грн.,Стан: Нове,Сьогодні о 07:33
"Нашийний вентилятор Grarg, портативні вентилятори без лопатей",700 грн.,Стан: Нове,Сьогодні о 07:27
"Нашийний вентилятор Grarg, портативні вентилятори без лопатей",700 грн.,Стан: Нове,Сьогодні о 07:27
Зволожувач повітря Maxcan MH 509В,830 грн.,Стан: Нове,Сьогодні о 07:20
Зволожувач повітря Maxcan MH 509В,830 грн.,Стан: Нове,Сьогодні о 07:20
Продам новий кондиціонер Cooper Hunter CH-S09FTXF2-NG,17 000 грн.,Стан: Нове,Сьогодні о 05:35
Продам новий кондиціонер Cooper Hunter CH-S09FTXF2-NG,17 000 грн.,Стан: Нове,Сьогодні о 05:35
"Кондиционер Сплит Система Midea, TCL, Olmo, BOSCH",11 500 грн.,Стан: Нове,07 травня 2024 р.
"Кондиционер Сплит Система Midea, TCL, Olmo, BOSCH",11 500 грн.,Стан: Нове,07 травня 2024 р.
"Кондиціонер Olmo OSH-10LDH3 серія Inventa, завод HITACHI, до 25м2",10 400 грн.,Стан: Нове,07 травня 2024 р.
"Кондиціонер Olmo OSH-10LDH3 серія Inventa, завод HITACHI, до 25м2",10 400 грн.,Стан: Нове,07 травня 2024 р.
Мобильный вентилятор на аккамуляторе,150 грн.,Стан: Нове,Сьогодні о 07:17
Мобильный вентилятор на аккамуляторе,150 грн.,Стан: Нове,Сьогодні о 07:17
Увлажнитель воздуха GORENJE H17BY,350 грн.,Стан: Вживане,Сьогодні о 07:28
Увлажнитель воздуха GORENJE H17BY,350 грн.,Стан: Вживане,Сьогодні о 07:28
Компресор Copeland Scroll,14 999 грн.,Стан: Вживане,Сьогодні о 07:22
Компресор Copeland Scroll,14 999 грн.,Стан: Вживане,Сьогодні о 07:22
Продам своложувач повітря MONHOUSE,1 500 грн.,Стан: Нове,Сьогодні о 07:31
Продам своложувач повітря MONHOUSE,1 500 грн.,Стан: Нове,Сьогодні о 07:31
Увлажнитель POLARIS,1 100 грн.,Стан: Вживане,Сьогодні о 07:18
Увлажнитель POLARIS,1 100 грн.,Стан: Вживане,Сьогодні о 07:18
Кондиціонери по акційній ціні. .Sensei.Cooper&Hunter.Osaka.Midea.,10 500 грн.,Стан: Нове,Сьогодні о 07:34
Кондиціонери по акційній ціні. .Sensei.Cooper&Hunter.Osaka.Midea.,10 500 грн.,Стан: Нове,Сьогодні о 07:34
Рекуператор приточно-витяжна  Mitsubishi LGH-250RVXT  «LOSSNAY»,195 000 грн.,Стан: Нове,Сьогодні о 07:34
Рекуператор приточно-витяжна  Mitsubishi LGH-250RVXT  «LOSSNAY»,195 000 грн.,Стан: Нове,Сьогодні о 07:34
Кондиціонер HEC-12HTD03/R2(I). Новий.,11 500 грн.,Стан: Нове,Сьогодні о 07:35
Кондиціонер HEC-12HTD03/R2(I). Новий.,11 500 грн.,Стан: Нове,Сьогодні о 07:35
Кондиционер 50 кв.м Cooper&Hunter CH-S18FTXK-NG R32 Wi-Fi инверторный,24 400 грн.,Стан: Нове,Сьогодні о 07:17
Кондиционер 50 кв.м Cooper&Hunter CH-S18FTXK-NG R32 Wi-Fi инверторный,24 400 грн.,Стан: Нове,Сьогодні о 07:17
